"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2021 06:15 - 02/01/2021 06:30","BZN|NL","10802.05","11941.25"
"02/01/2021 06:30 - 02/01/2021 06:45","BZN|NL","10925.66","12036.83"
"02/01/2021 06:45 - 02/01/2021 07:00","BZN|NL","11025.66","12121.68"
"02/01/2021 07:00 - 02/01/2021 07:15","BZN|NL","11250.30","12246.76"
"02/01/2021 07:15 - 02/01/2021 07:30","BZN|NL","11391.10","12428.62"
"02/01/2021 07:30 - 02/01/2021 07:45","BZN|NL","11547.55","12586.78"
"02/01/2021 07:45 - 02/01/2021 08:00","BZN|NL","11713.90","12738.52"
"02/01/2021 08:00 - 02/01/2021 08:15","BZN|NL","11912.03","12922.98"
"02/01/2021 08:15 - 02/01/2021 08:30","BZN|NL","12110.00","13141.13"
"02/01/2021 08:30 - 02/01/2021 08:45","BZN|NL","12295.01","13329.26"
"02/01/2021 08:45 - 02/01/2021 09:00","BZN|NL","12406.27","13471.49"
"02/01/2021 09:00 - 02/01/2021 09:15","BZN|NL","12569.83","13547.37"
"02/01/2021 09:15 - 02/01/2021 09:30","BZN|NL","12764.15","13619.41"
"02/01/2021 09:30 - 02/01/2021 09:45","BZN|NL","12893.41","13764.16"
"02/01/2021 09:45 - 02/01/2021 10:00","BZN|NL","13053.39","13833.13"
"02/01/2021 10:00 - 02/01/2021 10:15","BZN|NL","13123.75","13873.73"
"02/01/2021 10:15 - 02/01/2021 10:30","BZN|NL","13169.02","13896.46"
"02/01/2021 10:30 - 02/01/2021 10:45","BZN|NL","13220.08","13900.18"
"02/01/2021 10:45 - 02/01/2021 11:00","BZN|NL","13223.02","13875.15"
"02/01/2021 11:00 - 02/01/2021 11:15","BZN|NL","13261.45","13852.81"
"02/01/2021 11:15 - 02/01/2021 11:30","BZN|NL","13234.10","13823.87"
"02/01/2021 11:30 - 02/01/2021 11:45","BZN|NL","13206.65","13791.72"
"02/01/2021 11:45 - 02/01/2021 12:00","BZN|NL","13263.13","13797.77"
"02/01/2021 12:00 - 02/01/2021 12:15","BZN|NL","13298.45","13857.44"
"02/01/2021 12:15 - 02/01/2021 12:30","BZN|NL","13266.00","13932.19"
"02/01/2021 12:30 - 02/01/2021 12:45","BZN|NL","13251.46","13937.43"
"02/01/2021 12:45 - 02/01/2021 13:00","BZN|NL","13090.30","13926.90"
"02/01/2021 13:00 - 02/01/2021 13:15","BZN|NL","13149.88","13950.37"
"02/01/2021 13:15 - 02/01/2021 13:30","BZN|NL","13249.83","13975.11"
"02/01/2021 13:30 - 02/01/2021 13:45","BZN|NL","13250.29","13978.83"
"02/01/2021 13:45 - 02/01/2021 14:00","BZN|NL","13321.07","13980.02"
"02/01/2021 14:00 - 02/01/2021 14:15","BZN|NL","13335.02","14017.55"
"02/01/2021 14:15 - 02/01/2021 14:30","BZN|NL","13394.84","14058.35"
"02/01/2021 14:30 - 02/01/2021 14:45","BZN|NL","13465.66","14113.57"
"02/01/2021 14:45 - 02/01/2021 15:00","BZN|NL","13484.02","14164.52"
"02/01/2021 15:00 - 02/01/2021 15:15","BZN|NL","13543.18","14199.09"
"02/01/2021 15:15 - 02/01/2021 15:30","BZN|NL","13568.95","14234.85"
"02/01/2021 15:30 - 02/01/2021 15:45","BZN|NL","13641.52","14275.47"
"02/01/2021 15:45 - 02/01/2021 16:00","BZN|NL","13714.99","14295.35"
"02/01/2021 16:00 - 02/01/2021 16:15","BZN|NL","13763.26","14317.00"
"02/01/2021 16:15 - 02/01/2021 16:30","BZN|NL","13870.67","14330.30"
"02/01/2021 16:30 - 02/01/2021 16:45","BZN|NL","14106.50","14439.75"
"02/01/2021 16:45 - 02/01/2021 17:00","BZN|NL","14518.51","14635.31"
"02/01/2021 17:00 - 02/01/2021 17:15","BZN|NL","14823.78","14801.94"
"02/01/2021 17:15 - 02/01/2021 17:30","BZN|NL","15087.79","14834.58"
"02/01/2021 17:30 - 02/01/2021 17:45","BZN|NL","15264.35","14949.97"
"02/01/2021 17:45 - 02/01/2021 18:00","BZN|NL","15241.20","14987.69"
"02/01/2021 18:00 - 02/01/2021 18:15","BZN|NL","14896.96","14720.08"
"02/01/2021 18:15 - 02/01/2021 18:30","BZN|NL","14752.05","14282.80"
"02/01/2021 18:30 - 02/01/2021 18:45","BZN|NL","14587.21","14125.35"
"02/01/2021 18:45 - 02/01/2021 19:00","BZN|NL","14446.75","13988.50"
"02/01/2021 19:00 - 02/01/2021 19:15","BZN|NL","14241.35","13845.55"
"02/01/2021 19:15 - 02/01/2021 19:30","BZN|NL","14139.66","13704.38"
"02/01/2021 19:30 - 02/01/2021 19:45","BZN|NL","13945.76","13551.24"
"02/01/2021 19:45 - 02/01/2021 20:00","BZN|NL","13880.43","13403.87"
"02/01/2021 20:00 - 02/01/2021 20:15","BZN|NL","13692.65","13317.33"
"02/01/2021 20:15 - 02/01/2021 20:30","BZN|NL","13544.69","13340.65"
"02/01/2021 20:30 - 02/01/2021 20:45","BZN|NL","13343.55","13224.70"
"02/01/2021 20:45 - 02/01/2021 21:00","BZN|NL","13114.51","13085.66"
"02/01/2021 21:00 - 02/01/2021 21:15","BZN|NL","12927.48","12994.88"
"02/01/2021 21:15 - 02/01/2021 21:30","BZN|NL","12816.63","12888.37"
"02/01/2021 21:30 - 02/01/2021 21:45","BZN|NL","12676.06","12771.44"
"02/01/2021 21:45 - 02/01/2021 22:00","BZN|NL","12537.82","12652.41"
"02/01/2021 22:00 - 02/01/2021 22:15","BZN|NL","12350.25","12557.55"
"02/01/2021 22:15 - 02/01/2021 22:30","BZN|NL","12247.83","12459.35"
"02/01/2021 22:30 - 02/01/2021 22:45","BZN|NL","12084.58","12344.99"
"02/01/2021 22:45 - 02/01/2021 23:00","BZN|NL","11956.03","12229.01"
"02/01/2021 23:00 - 02/01/2021 23:15","BZN|NL","11871.49","12138.72"
"02/01/2021 23:15 - 02/01/2021 23:30","BZN|NL","11729.21","12094.24"
"02/01/2021 23:30 - 02/01/2021 23:45","BZN|NL","11590.71","11993.18"
"02/01/2021 23:45 - 03/01/2021 00:00","BZN|NL","11420.77","11866.29"
"03/01/2021 00:00 - 03/01/2021 00:15","BZN|NL","11364.71","11797.62"
"03/01/2021 00:15 - 03/01/2021 00:30","BZN|NL","11305.85","11810.58"
"03/01/2021 00:30 - 03/01/2021 00:45","BZN|NL","11238.58","11784.92"
"03/01/2021 00:45 - 03/01/2021 01:00","BZN|NL","11101.47","11699.89"
"03/01/2021 01:00 - 03/01/2021 01:15","BZN|NL","11014.82","11600.37"
"03/01/2021 01:15 - 03/01/2021 01:30","BZN|NL","11011.25","11527.94"
