event_time_utc,zone,temperature_c,u10_ms,v10_ms,surface_pressure_pa
2020-01-05 09:00:00,NL,6.4412537,3.774881,3.1100843,103051.27
2020-01-05 10:00:00,NL,6.6914673,3.9786801,3.3174193,103059.734
2020-01-05 11:00:00,NL,6.9210815,4.399779,3.1228306,103046.16
2020-01-05 12:00:00,NL,7.1085205,4.6417265,3.0636907,102998.69
2020-01-05 13:00:00,NL,7.153076,4.752587,2.9360232,102925.52
2020-01-05 14:00:00,NL,7.1496887,4.934623,2.7515671,102883.84
2020-01-05 15:00:00,NL,7.0751343,4.677491,2.5138233,102932.58
2020-01-05 16:00:00,NL,6.953827,4.2250013,2.669249,102879.51
2020-01-05 17:00:00,NL,6.9265137,4.0145845,3.060059,102912.234
2020-01-05 18:00:00,NL,6.9188538,3.992432,3.2769792,102838.81
2020-01-05 19:00:00,NL,6.907959,3.9540043,3.2565062,102858.16
2020-01-05 20:00:00,NL,6.8631287,3.9279604,3.3476307,102816.414
2020-01-05 21:00:00,NL,6.82724,3.8082235,3.5019212,102767.44
2020-01-05 22:00:00,NL,6.763092,3.8102534,3.4998913,102731.33
2020-01-05 23:00:00,NL,6.733917,3.6694984,3.577355,102711.85
2020-01-06 00:00:00,NL,6.688568,3.6278942,3.6870582,102672.11
2020-01-06 01:00:00,NL,6.614319,3.4803767,3.7502673,102620.94
2020-01-06 02:00:00,NL,6.5606384,3.363752,3.843161,102592.79
2020-01-06 03:00:00,NL,6.4765015,3.277141,3.9324672,102556.28
2020-01-06 04:00:00,NL,6.413208,3.134064,4.027122,102499.414
2020-01-06 05:00:00,NL,6.3549194,2.9719994,4.212815,102466.62
2020-01-06 06:00:00,NL,6.248535,2.877065,4.4725065,102427.06
2020-01-06 07:00:00,NL,6.136139,2.7470791,4.71589,102390.05
2020-01-06 08:00:00,NL,5.926941,2.4622245,4.9804688,102353.64
2020-01-06 09:00:00,NL,5.853424,2.2477822,5.321645,102323.89
2020-01-06 10:00:00,NL,6.0989075,2.0873647,5.2884946,102260.22
2020-01-06 11:00:00,NL,6.2919006,1.759693,5.6755,102173.98
2020-01-06 12:00:00,NL,6.614105,1.313469,6.0822835,102044.56
2020-01-06 13:00:00,NL,6.8454895,0.8493643,6.2715826,101909.03
2020-01-06 14:00:00,NL,6.9894104,0.55724156,6.2027373,101828.11
2020-01-06 15:00:00,NL,6.7503967,0.4652816,6.1369877,101752.34
2020-01-06 16:00:00,NL,6.0375977,0.97218966,6.1272907,101699.31
2020-01-06 17:00:00,NL,5.5131226,1.7583497,6.117727,101675.805
2020-01-06 18:00:00,NL,5.3924866,2.5554397,6.082502,101645.484
2020-01-06 19:00:00,NL,5.416809,3.4026134,5.797973,101615.586
2020-01-06 20:00:00,NL,5.605438,4.050287,5.33862,101577.75
2020-01-06 21:00:00,NL,5.7218018,4.6559863,4.871166,101576.4
2020-01-06 22:00:00,NL,5.802124,5.43998,3.9624932,101603.945
2020-01-06 23:00:00,NL,6.096588,5.7233024,2.9893937,101631.48
2020-01-07 00:00:00,NL,6.3888855,5.7881966,1.9727095,101681.48
2020-01-07 01:00:00,NL,6.6282043,5.72122,1.1642038,101765.21
2020-01-07 02:00:00,NL,6.676544,5.473357,0.9128469,101831.82
2020-01-07 03:00:00,NL,6.637665,5.2901087,1.2717285,101852.36
2020-01-07 04:00:00,NL,6.621826,5.3202477,1.2225323,101894.93
2020-01-07 05:00:00,NL,6.510498,5.2221503,1.023372,101982.664
2020-01-07 06:00:00,NL,6.3558655,4.851621,1.1476547,102033.82
2020-01-07 07:00:00,NL,6.25943,4.1690197,1.6056756,102095.31
2020-01-07 08:00:00,NL,6.2029724,3.4524426,2.538443,102152.23
2020-01-07 09:00:00,NL,6.4663696,3.1062834,3.6115077,102195.3
2020-01-07 10:00:00,NL,6.9208374,3.0579646,4.6154985,102242.02
2020-01-07 11:00:00,NL,7.3145447,3.5338566,5.1557336,102219.93
2020-01-07 12:00:00,NL,7.742401,4.0160666,5.6364613,102194.64
2020-01-07 13:00:00,NL,8.035248,3.918323,5.9469995,102146.45
2020-01-07 14:00:00,NL,8.117523,3.5589492,6.248156,102108.91
2020-01-07 15:00:00,NL,8.104095,3.1859844,6.5480084,102090.28
2020-01-07 16:00:00,NL,7.895691,2.784462,7.0209694,102049.22
2020-01-07 17:00:00,NL,7.7490234,2.6202843,7.6024394,102010.64
2020-01-07 18:00:00,NL,7.664093,2.7060761,8.0314045,101938.49
2020-01-07 19:00:00,NL,7.6525574,3.079333,8.155107,101925.5
2020-01-07 20:00:00,NL,7.7052,3.494729,8.245135,101875.15
2020-01-07 21:00:00,NL,7.812256,3.781281,8.361491,101841.28
2020-01-07 22:00:00,NL,7.811859,3.3368406,8.301009,101801.234
2020-01-07 23:00:00,NL,8.056061,3.7132561,8.400268,101748.0
2020-01-08 00:00:00,NL,8.387543,4.3443775,8.266195,101680.34
2020-01-08 01:00:00,NL,8.712036,4.8835196,7.7856956,101629.54
2020-01-08 02:00:00,NL,9.117737,5.4695635,7.0487695,101634.18
2020-01-08 03:00:00,NL,9.452332,6.029511,6.208461,101641.85
2020-01-08 04:00:00,NL,9.699524,6.085237,5.607646,101618.98
2020-01-08 05:00:00,NL,9.841583,6.010868,5.229414,101623.08
2020-01-08 06:00:00,NL,9.958679,6.007248,4.747151,101630.55
2020-01-08 07:00:00,NL,10.02179,5.998347,4.211718,101678.875
2020-01-08 08:00:00,NL,10.076752,5.9623766,3.649176,101732.38
2020-01-08 09:00:00,NL,10.128265,5.605572,3.3083496,101786.75
2020-01-08 10:00:00,NL,10.271606,5.4146314,2.7871885,101846.445
2020-01-08 11:00:00,NL,10.396698,5.11657,2.4805858,101848.52
2020-01-08 12:00:00,NL,10.456329,5.1151843,2.1380737,101834.055
2020-01-08 13:00:00,NL,10.438751,4.837293,1.8160331,101840.766
2020-01-08 14:00:00,NL,10.370056,4.507512,1.424544,101854.555
2020-01-08 15:00:00,NL,10.145416,4.2348676,1.0180348,101904.29
2020-01-08 16:00:00,NL,9.874695,3.604775,0.88736624,101939.64
2020-01-08 17:00:00,NL,9.613007,3.1682794,1.0353044,101969.28
2020-01-08 18:00:00,NL,9.404816,3.0522535,1.1166519,101981.63
2020-01-08 19:00:00,NL,9.273865,2.651493,1.218436,101968.055
2020-01-08 20:00:00,NL,9.12619,2.1592395,1.3972527,101935.01
2020-01-08 21:00:00,NL,9.072388,1.5266665,1.8173171,101887.11
2020-01-08 22:00:00,NL,9.051758,1.516029,2.0558586,101863.875
2020-01-08 23:00:00,NL,9.010254,0.6585461,2.5259726,101802.28
2020-01-09 00:00:00,NL,8.98056,0.16828267,3.20536,101690.445
2020-01-09 01:00:00,NL,9.026794,-0.3830651,3.608046,101613.2
2020-01-09 02:00:00,NL,9.17276,-0.9208263,4.4093566,101482.92
2020-01-09 03:00:00,NL,9.342377,-0.90734303,5.259236,101355.63
